"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"Slco3a1",2.38332303495122e-280,-1.05707024807502,0.645,0.948,4.38817437195219e-276
"Tenm4",4.81118456902263e-271,1.17516309196994,0.619,0.131,8.85835302848446e-267
"Fbn2",5.60913728989914e-232,-0.726847280953372,0.904,0.994,1.03275435781623e-227
"Cadm1",4.63397545504359e-202,0.795932433450655,0.958,0.679,8.53207560782626e-198
"Slit3",4.63796692301994e-196,0.759880120763972,0.992,0.826,8.53942469866432e-192
"Rgs6",2.77432375154354e-185,-1.43188162747741,0.582,0.852,5.10808489134197e-181
"Gramd1b",1.06687981944942e-180,-0.823838991852178,0.683,0.92,1.96433912357028e-176
"Frem1",2.62615572672917e-179,0.705554691428473,0.72,0.284,4.83527792405376e-175
"Cacna2d2",4.78744371476996e-177,-0.736863287781768,0.773,0.94,8.81464136763445e-173
"Fhl2",3.62838474970021e-158,-0.873110768677121,0.576,0.86,6.68058200114803e-154
"Sorcs2",1.59807427333898e-156,-0.857494515101912,0.246,0.67,2.94237435207172e-152
"Mast4",7.96184116394259e-156,-0.578564244162149,0.974,0.994,1.46593419510511e-151
"Angpt1",2.48256650144111e-154,0.712318564796963,0.911,0.528,4.57090144245337e-150
"Tln2",5.3043439005648e-154,0.606810949762087,0.957,0.748,9.76635798971991e-150
"Stox2",1.88807737681951e-152,-0.860304574323584,0.49,0.808,3.47632806620008e-148
"Nrp1",3.25469075483012e-152,0.542832935389496,0.981,0.891,5.99253661779322e-148
"Rasgef1b",7.51777082424608e-142,-1.08339874435287,0.287,0.671,1.38417196416019e-137
"Ltbp1",5.0867851358386e-140,-0.898566381327331,0.606,0.858,9.36578879210603e-136
"Stk39",7.9338321722076e-137,0.517127577808624,0.98,0.841,1.46077717954686e-132
"Aff3",7.17987825554075e-135,-0.713346438470281,0.695,0.895,1.32195918441016e-130
"Top2a",2.67937301901525e-128,0.547475313746718,0.966,0.732,4.93326160261088e-124
"Kcnh7",5.5693274937238e-125,0.516460527465177,0.992,0.906,1.02542457814443e-120
"Gpc6",1.19718882789977e-123,0.557414315294663,0.95,0.704,2.20426406992906e-119
"Sema3c",5.48732222863422e-114,-0.792793790092296,0.214,0.575,1.01032576873613e-109
"Pbx1",7.13739174650631e-112,-0.502672136945764,0.993,0.998,1.31413656836674e-107
"Maml3",1.78750049434848e-108,-0.579065243925904,0.846,0.955,3.29114591019443e-104
"Slc16a12",8.87563430296287e-102,-0.723820373289977,0.387,0.695,1.63418178786152e-97
"Ntf3",9.43622668061063e-98,-0.667090534967562,0.189,0.534,1.73739805643403e-93
"Stard5",3.91226348101396e-97,0.531824791129965,0.635,0.327,7.2032595212429e-93
"Vcan",4.02797152144509e-97,-0.524635479512766,0.957,0.981,7.4163011652847e-93
"Sema6d",5.69081721046712e-93,-0.703137389272595,0.219,0.546,1.04779326479121e-88
"Stk32a",1.50989264594272e-87,-0.65630612965293,0.063,0.364,2.78001433970973e-83
"Plxna4",1.5850076356812e-87,-0.559494866793204,0.767,0.91,2.91831605881622e-83
"Robo1",6.99807121257364e-87,-1.07364660485742,0.489,0.697,1.28848487165906e-82
"Tcf7l1",4.92183782450063e-83,-0.628194372089804,0.351,0.635,9.06208780247057e-79
"Epha4",1.02873617736761e-82,-0.700870060204664,0.327,0.614,1.89410904976924e-78
"Lhfpl2",9.16636479300591e-82,-0.600530852042072,0.253,0.565,1.68771108568825e-77
"Esrrb",7.16146313830213e-81,-0.517771501130203,0.084,0.378,1.31856859302419e-76
"Rora",7.49381493882821e-81,-0.663297902341452,0.823,0.91,1.37976120653705e-76
"Meg3",9.08208567478108e-81,-0.733089638042622,0.77,0.893,1.67219361444069e-76
"Kcnd2",8.98072777876218e-80,0.602557068399588,0.479,0.206,1.65353159862569e-75
"Tnik",1.96119710405886e-78,-0.549284629953496,0.245,0.55,3.61095610799318e-74
"Extl3",2.06533178826442e-76,-0.513064196683995,0.545,0.774,3.80268888855245e-72
"Srgap1",2.43978470139828e-76,-0.578460342737193,0.106,0.388,4.49213159221452e-72
"Epha7",3.20182668830336e-76,-0.539349318234122,0.678,0.857,5.89520329850415e-72
"Ncald",2.52537666133635e-74,-0.55337926088688,0.2,0.49,4.64972350885249e-70
"Itgb1bp2",1.62813608200226e-73,-0.535951679473106,0.346,0.621,2.99772415418256e-69
"Rspo3",1.01727778724247e-72,-1.16884339341242,0.068,0.326,1.87301186187084e-68
"Smad6",1.64201807410833e-72,-0.618883796324369,0.419,0.655,3.02328367804826e-68
"Has2",1.2961515841167e-71,-0.96250974420631,0.133,0.405,2.38647429667567e-67
"Tenm2",1.23297049258804e-69,0.51494612610372,0.85,0.683,2.27014527095309e-65
"Igfbp5",3.20630116909764e-67,-0.655491121919825,0.276,0.54,5.90344171254258e-63
"Gab2",1.42271982011228e-65,-0.504157002323901,0.655,0.826,2.61951173279073e-61
"Pdzd2",1.8369866659757e-65,0.507000590152843,0.577,0.347,3.38225984939447e-61
"Gpc4",2.29116392924713e-65,-0.567323173437474,0.339,0.599,4.21849102652982e-61
"Negr1",7.43014363528902e-64,-1.1309628922147,0.081,0.321,1.36803804612941e-59
"Grhl1",6.31393793027736e-60,-0.551999621528105,0.208,0.458,1.16252225172267e-55
"Fgf14",6.47133908330333e-59,-0.791775500702987,0.16,0.402,1.19150295201781e-54
"Kcnj3",1.06182615532337e-57,-0.537301098015353,0.171,0.427,1.95503431718138e-53
"Parm1",1.54772722343743e-56,-0.514022110888169,0.128,0.367,2.84967536379299e-52
"Plxdc2",4.44449070291011e-56,-0.518309481244846,0.213,0.455,8.18319628219809e-52
"Sema3a",4.89312161321257e-55,-0.509310543529722,0.491,0.701,9.00921551424699e-51
"Pde7b",2.2777507437126e-52,-0.658523756838617,0.062,0.269,4.19379466932365e-48
"Gm13481",2.44346013843213e-52,-0.673892726873148,0.294,0.516,4.49889880688124e-48
"Cdh20",3.75035800432086e-51,-0.568711325273891,0.166,0.393,6.90515915755556e-47
"Tmem132c",3.21269435735976e-48,-0.58465749083807,0.168,0.385,5.91521285077078e-44
"Tshz2",2.65210221541135e-46,-0.532844078309584,0.323,0.542,4.88305059901538e-42
"Itga6",1.47810281692459e-42,-0.652390710257319,0.592,0.711,2.72148290652156e-38
"Tgfb2",3.06560685087881e-34,-0.734928754336351,0.386,0.536,5.64439533383806e-30
"Bmper",1.79312021336386e-33,-0.519632533235021,0.18,0.358,3.30149293684553e-29
"Tgfbr3",1.32369025040602e-30,-0.530995753091564,0.52,0.618,2.43717848904756e-26
"Ntm",1.78650919769749e-28,-0.874051476267635,0.288,0.431,3.28932073480062e-24
"Gfpt2",3.98525883559298e-28,-0.646513260740644,0.134,0.28,7.3376585680938e-24
"Slit2",8.07808941684225e-15,-1.02125159391088,0.287,0.383,1.487337823429e-10
