"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"Negr1",1.40488731546618e-285,1.85607685427497,0.746,0.17,2.58667852523633e-281
"Pde7b",2.20992390123834e-232,1.29036769145789,0.644,0.138,4.06891188696003e-228
"Sdk1",1.20717931360446e-228,0.708866984365269,0.999,0.998,2.22265855220853e-224
"Robo1",8.26574217489403e-194,1.34364090330668,0.924,0.593,1.52188844924149e-189
"Stk39",1.24168664608991e-179,-0.915181082329795,0.58,0.931,2.28619345278073e-175
"Pbx1",1.13653857011325e-171,0.676674136544871,1,0.996,2.09259481529251e-167
"Sorcs2",8.91622468421694e-156,0.808241299296486,0.907,0.498,1.64165528885802e-151
"Ntf3",2.87209105977828e-153,0.865501178210607,0.816,0.378,5.28809405926377e-149
"Slco3a1",4.75684084634109e-153,0.706952581200088,0.992,0.849,8.75829536628322e-149
"Itga9",2.92130036223247e-137,0.842934827979437,0.601,0.193,5.37869822694243e-133
"Epha4",8.48190822238023e-134,0.871886822793842,0.846,0.485,1.56168894190465e-129
"Nhsl2",4.74890277581294e-131,-0.733868139140115,0.612,0.919,8.74367979082678e-127
"Pcsk6",2.17643459585473e-130,0.603128350945649,0.512,0.133,4.00725137788773e-126
"Mpped2",9.33413843127318e-130,0.531563175223502,1,0.998,1.71860156796602e-125
"Ppp1r17",1.61259296352507e-127,0.645488534799632,0.649,0.244,2.96910616444235e-123
"Cdk14",2.7166340333694e-127,0.558742665444113,0.997,0.976,5.00186658223974e-123
"Mef2c",5.33369336446635e-127,-0.693807802162565,0.773,0.966,9.82039622265545e-123
"Stk32a",8.94538686222211e-127,0.756686255039604,0.632,0.224,1.64702462907234e-122
"Sema3c",1.92767469902081e-123,0.767471471557397,0.82,0.421,3.54923465583711e-119
"Cacna2d2",3.56773643452856e-123,0.564132763751907,0.99,0.881,6.56891632325398e-119
"Gramd1b",1.70364651732147e-122,0.649448953934157,0.988,0.836,3.13675396769228e-118
"Dach1",1.86397703596008e-121,0.703723695976735,0.967,0.802,3.4319545186097e-117
"Kcnq5",7.78846291150968e-121,0.701371321145499,0.99,0.947,1.43401179126716e-116
"Prdm6",3.76265872206453e-118,-0.861027814107259,0.301,0.735,6.92780723906521e-114
"Nav2",9.624831584241e-117,0.733286717849161,0.99,0.931,1.77212399129045e-112
"Slc16a12",2.02343040208824e-114,0.774307109509129,0.882,0.568,3.72554005632486e-110
"Irx2",8.39180345541967e-112,0.594219079996436,0.599,0.22,1.54509885221187e-107
"Tgfbr3",5.93377058870538e-109,0.768984109843955,0.857,0.544,1.09252584079243e-104
"Tbx20",3.619504760723e-104,-0.701670794319014,0.757,0.942,6.66423216544318e-100
"Rabgap1l",5.01829720110519e-101,0.55783770701947,0.99,0.939,9.23968880667488e-97
"Sema6d",1.93381475293154e-99,0.697163743461349,0.771,0.406,3.56053972309756e-95
"Angpt1",1.09157103223648e-98,-1.24813609800957,0.311,0.684,2.0098005845538e-94
"Fgf10",8.1502173408432e-93,0.579415885710843,0.291,0.056,1.50061801679605e-88
"Srgap1",1.30781240987162e-90,0.597157398221222,0.614,0.261,2.40794420905563e-86
