"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"Gm31251",9.6102649652864e-99,1.45394958566634,0.786,0.087,1.76944198540853e-94
"4930512H18Rik",1.53862015344585e-98,1.82438511275335,0.91,0.164,2.8329074265245e-94
"Mhrt",1.28873788230751e-93,1.85280745034873,0.897,0.176,2.37282418890458e-89
"Gm13269",2.53385592206317e-91,1.13875996876771,0.71,0.068,4.66533552370271e-87
"Sorbs2os",5.2650328662558e-91,1.25474797886753,0.807,0.109,9.69397851335017e-87
"Gm10848",9.69039856947486e-88,0.977847435977829,0.731,0.078,1.78419618461171e-83
"Myocd",1.76110630757509e-86,1.6908253964444,0.924,0.233,3.24254893350726e-82
"Myo18b",3.55642480333218e-85,1.02034007437376,0.821,0.13,6.54808934789521e-81
"Cap2",8.25254286721418e-82,1.31339300855978,0.972,0.307,1.51945819271147e-77
"Casz1",4.65946219865533e-80,0.921135031610843,0.766,0.106,8.57900180016419e-76
"Ldb3",1.32573583667847e-79,1.22491945513399,0.89,0.211,2.44094482249239e-75
"Sorbs2",1.40712357536171e-78,1.68315361289764,0.979,0.425,2.59079592695597e-74
"Sphkap",8.80099306850992e-78,1.17628923335927,0.821,0.152,1.62043884377405e-73
"Plekha7",8.18007772182654e-77,1.07636319687196,0.841,0.155,1.5061159101427e-72
"Cacna1c",1.60559454682546e-76,2.16420960691039,0.966,0.437,2.95622067961504e-72
"Rbm20",2.39595403724026e-76,1.51746243527114,0.979,0.379,4.41143057336677e-72
"Trim55",4.72143603628445e-76,1.3973754040445,0.931,0.31,8.69310803000693e-72
"Ryr2",5.92163149517046e-75,2.03875232268504,0.993,0.618,1.09029079089078e-70
"Rbm24",7.42147730617842e-75,1.30572880399,0.938,0.297,1.36644240161357e-70
"Dpf3",9.10922259635105e-75,1.21348905565435,0.952,0.285,1.67719006444015e-70
"Kif26b",1.70534933613458e-73,1.46607473640016,0.945,0.295,3.13988919769098e-69
"Nebl",2.56050341967447e-72,1.57477576336123,0.979,0.501,4.71439889630463e-68
"Jph2",1.09895385730661e-71,0.905331020106908,0.745,0.119,2.02339384207292e-67
"Cdh2",1.15339427532857e-71,1.31232091256298,0.952,0.33,2.12362953973497e-67
"Ank3",2.04764609824943e-71,1.71544086234443,0.979,0.514,3.77012599609684e-67
"Lrrtm3",5.64288943906001e-71,1.46825648303498,0.724,0.132,1.03896880351973e-66
