"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"Rspo3",0,1.84209061397257,0.811,0.092,0
"Tgfb2",0,1.43659192748137,0.924,0.367,0
"Pcdh7",0,-0.899714043268612,0.926,0.999,0
"Kcnq5",0,-1.23664757406911,0.832,0.991,0
"Tbx2",2.60473224924956e-294,0.82748863103255,0.642,0.116,4.79583301731828e-290
"Lef1",2.27265429651369e-266,1.06711125291567,0.958,0.604,4.18441109074101e-262
"Auts2",1.05207042277049e-254,-0.951897835856742,0.861,0.99,1.93707206240502e-250
"Mest",3.97215958754105e-244,-1.09446481820099,0.708,0.951,7.31354023258058e-240
"Pam",4.97667237942739e-244,-0.868945875877218,0.91,0.992,9.16304918500171e-240
"Rasgef1b",3.99220813347637e-240,1.14870819931343,0.883,0.478,7.35045361535669e-236
"Ank3",1.03787064781137e-234,0.557476447067651,1,0.999,1.9109274367503e-230
"Rora",6.40100105406299e-234,0.91582872398378,0.98,0.86,1.17855231407408e-229
"Bmp2",1.58295650388774e-232,0.783832419406211,0.426,0.046,2.91453951495811e-228
"Ntm",7.13522929786109e-232,1.56130501590398,0.735,0.291,1.31373841832218e-227
"Grhl1",1.43424922052082e-227,0.920892302826732,0.747,0.287,2.64073966482294e-223
"Tbx3",1.23063699718706e-223,0.761396080463911,0.605,0.148,2.26584883922081e-219
"Carmil1",1.74504540502014e-211,0.891068217557575,0.558,0.129,3.21297759972309e-207
"Pde4d",5.57984913843759e-211,-0.788340607572371,0.817,0.974,1.02736182336913e-206
"Has2",1.31393982385199e-205,1.32003815208365,0.672,0.233,2.41922600367629e-201
"Rgs6",1.23514066685709e-204,0.956752625794097,0.97,0.726,2.27414099581728e-200
"Tgfbr3",1.44464840136948e-196,-1.16244960294478,0.209,0.711,2.65988663660149e-192
"Fchsd2",8.1426955242939e-191,0.812504084711565,0.922,0.686,1.49923309993299e-186
"Tbx3os1",3.58337117363854e-189,0.731101766215713,0.424,0.068,6.59770300490329e-185
"Smad6",1.62170136432141e-188,0.818922884043421,0.863,0.513,2.98587655198858e-184
"Dpysl3",5.94277527085457e-186,0.724433109178102,0.972,0.772,1.09418378286974e-181
"Zbtb20",2.20044451387681e-185,0.541912364850363,0.997,0.982,4.05145843894999e-181
"Gm26917",4.74202527732064e-185,-0.632028707442839,0.961,0.995,8.73101694060276e-181
"Igfbp5",3.84763863422416e-183,0.916525868653932,0.774,0.381,7.08427225333353e-179
"Gfpt2",1.259387715787e-182,1.22939588157625,0.538,0.153,2.31878466230702e-178
"Cacna1d",2.31761529266131e-182,0.728809182558101,0.995,0.869,4.26719327684801e-178
"Numb",1.70375926464138e-179,0.633130485402356,0.986,0.906,3.1369615580577e-175
"Angpt1",3.6902957012705e-179,-1.47985754574511,0.292,0.728,6.79457244517925e-175
"Gm13481",2.86822879272293e-178,0.941387650270745,0.769,0.365,5.28098285316147e-174
"Tmem132c",2.60699104140226e-171,0.798563344145952,0.655,0.23,4.79999190542983e-167
"Ltbp1",5.99377928001047e-170,0.940770795825207,0.947,0.747,1.10357464103553e-165
"Podxl",2.02928718082205e-169,0.731779308955728,0.795,0.422,3.73632355732956e-165
"Smpx",1.15223943292167e-167,-0.774968292974394,0.485,0.844,2.12150324389538e-163
"Rassf5",8.31773632928168e-164,0.744505765827159,0.827,0.493,1.53146161294734e-159
"Abtb2",2.20255378559603e-160,0.546827587749687,0.992,0.961,4.05534203003942e-156
"Smad7",3.22911758836232e-154,0.657542762770326,0.863,0.551,5.94545130369271e-150
"Itga6",2.807065004e-152,0.837203327322815,0.906,0.612,5.1683680853648e-148
"Edil3",3.64262209787655e-149,0.850453744588003,0.748,0.39,6.7067958066103e-145
"Scn5a",9.88213861894327e-149,-0.798943818798344,0.105,0.562,1.81949936251983e-144
"Ppfibp2",3.03764805216083e-148,0.521470237614377,0.44,0.102,5.59291759363853e-144
"Ccnd2",1.08076805414424e-146,-0.817248185922217,0.563,0.868,1.98991014129038e-142
"Rbfox3",1.26833609320961e-142,0.721001552554843,0.395,0.086,2.33526041481754e-138
"Tbx20",1.4688065505525e-135,0.620628226846929,0.979,0.893,2.70436662087725e-131
"Aff3",3.76312803478572e-135,0.608929571849021,0.958,0.809,6.92867133764746e-131
"Plekha6",3.71835916097543e-134,0.577000928482424,0.745,0.396,6.84624288718796e-130
"Alcam",4.06878878522739e-133,-0.705780777437262,0.804,0.954,7.49145391136067e-129
"Dstn",8.76064097769156e-132,0.60702573806717,0.958,0.866,1.61300921681257e-127
"Bmpr1b",1.37159640848926e-131,-0.981692830693667,0.103,0.525,2.52538330731042e-127
"Kalrn",5.76650052107531e-130,0.648751017124308,0.839,0.562,1.06172807594039e-125
"Pde3a",1.98408208175438e-129,0.668416943793621,0.898,0.689,3.65309192892617e-125
"Cadm1",4.11624517447033e-128,-0.803886301554492,0.508,0.824,7.57883061523477e-124
"Tmem132cos",2.11766947561506e-118,0.552344842966783,0.436,0.123,3.89905303850245e-114
"Hipk2",3.16054042297436e-113,0.506436420075065,0.96,0.878,5.81918702678039e-109
"Synpo2",4.03158896237541e-113,0.649512927203687,0.849,0.607,7.42296159752561e-109
"Mhrt",4.19755700915647e-113,-0.576224180356752,0.816,0.959,7.72854196525889e-109
"Top2a",4.75169129303246e-113,-0.675175999603201,0.577,0.857,8.74881400873136e-109
"Dsc2",7.2164230968727e-112,-0.614564587763613,0.117,0.5,1.3286878205962e-107
"Cttnbp2",9.66257344445751e-112,0.538062807550322,0.402,0.112,1.77907302259352e-107
"Myh7",1.03308772591182e-111,-0.50227688468683,0.926,0.987,1.90212112094884e-107
"Kcnh7",1.44055778418179e-111,-0.660411539085326,0.829,0.958,2.6523549922355e-107
"B530045E10Rik",1.60715297947099e-111,0.703155952343615,0.591,0.264,2.95909006580198e-107
"Ctnnd2",1.25075997582587e-108,0.823576101981921,0.764,0.49,2.30289926749059e-104
"Gm31251",2.2546371403551e-108,-0.55165299494849,0.656,0.923,4.15123790282181e-104
"Parm1",6.22053834740964e-106,0.613080084877797,0.556,0.229,1.14532552052506e-101
"Nppa",1.22925838973196e-104,-0.716418161605046,0.898,0.96,2.26331054717449e-100
"Lhfpl2",2.46587067718044e-104,0.602574416433311,0.727,0.412,4.54016109082463e-100
"Znrf1",1.07367717135506e-102,0.504434862318641,0.813,0.528,1.97685440789893e-98
"Ect2",1.67896037013899e-98,-0.58862231870814,0.422,0.762,3.09130183349991e-94
"Ncald",7.74454688472658e-97,0.546702928654348,0.657,0.342,1.42592597241586e-92
"Rin2",1.66962767663138e-95,0.502791039656702,0.765,0.474,3.07411847821369e-91
"Bmper",1.2209645416111e-94,0.745458272587709,0.538,0.244,2.24803991401435e-90
"Gnl3",1.11695308438093e-92,-0.552842534308141,0.404,0.707,2.05653401896216e-88
"Adprhl1",7.10584536107929e-92,-0.529244770794816,0.199,0.544,1.30832824788192e-87
"Pdzrn3",8.90289315187438e-92,-0.534582697236987,0.713,0.919,1.63920068712311e-87
"Unc5c",1.07126540798757e-91,0.647857817896333,0.739,0.43,1.97241386918671e-87
"Creb5",2.31640321097782e-90,-0.70977768091189,0.304,0.632,4.26496159205237e-86
"Slc24a2",7.75486778568423e-89,0.61412061316134,0.842,0.638,1.42782625670018e-84
"Ppargc1b",9.30408851456945e-89,-0.504992057981825,0.416,0.729,1.71306877730253e-84
