"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"Bmper",8.40431809686545e-103,1.97915437235843,0.825,0.123,1.54740304799487e-98
"Igfbp7",2.34531105519059e-80,1.10612800494425,0.497,0.024,4.31818671481691e-76
"Tbx20",2.99104725229337e-76,1.60329141415413,0.977,0.787,5.50711620092255e-72
"Sox6",1.38445389136002e-67,1.73992915978171,0.972,0.529,2.54905650477207e-63
"Gata4",2.69143052589482e-64,1.07732106926468,0.994,0.897,4.95546188427754e-60
"Pdlim3",2.8214022176146e-64,1.34391506708253,0.898,0.334,5.19476576307199e-60
"Slc22a23",7.99236136812764e-58,-1.52920274986812,0.237,0.859,1.47155357509966e-53
"Sema6a",1.933413582541e-54,1.40595705146387,0.746,0.229,3.55980108817449e-50
"Gm42906",1.31670625952109e-53,1.18007715609342,0.672,0.153,2.42431956503024e-49
"Chst11",5.35411717952341e-52,1.44879320991688,0.734,0.252,9.8580005509385e-48
"Col23a1",1.00052243464097e-51,-1.98458738818708,0.322,0.851,1.84216190666095e-47
"Vcan",1.79944446979537e-51,1.32044854683374,0.977,0.6,3.31313715778723e-47
"Tmem164",1.33428905034692e-50,-1.06772624754857,0.96,0.991,2.45669299949875e-46
"Adamts19",8.80220534761519e-50,1.06136247606714,0.418,0.046,1.62066204860291e-45
"Sox9",1.75570738431804e-49,0.806013500354377,0.384,0.032,3.23260843600637e-45
"Emcn",1.90163552936957e-47,-1.46654369758012,0.237,0.806,3.50129133667526e-43
"Smad6",2.5401489716425e-47,0.978998692810849,1,0.892,4.67692228658817e-43
"Ncam1",1.60161704054204e-46,1.59971876027616,0.842,0.435,2.948897295046e-42
"Lhfpl2",3.8398919373823e-46,0.899377412324537,0.893,0.42,7.07000903510829e-42
"Trps1",4.63632104945036e-46,0.975434581393192,0.87,0.454,8.536394316248e-42
"Limch1",4.29658653488756e-44,1.08418167021438,0.949,0.562,7.91087512803498e-40
"Tgfbr3",2.57115757396887e-43,-1.0154976898682,0.667,0.958,4.73401532519148e-39
"Pcdh7",1.04020581838588e-42,-0.997837147985765,0.802,0.977,1.91522695281209e-38
"Dlc1",4.71735977556955e-42,0.839885619950002,1,0.983,8.68560281877865e-38
"Plagl1",5.173201396246e-42,-0.948143576188629,0.729,0.953,9.52489841076813e-38
"Klhl29",1.14024119097261e-41,0.755379179005118,0.52,0.11,2.09941208081877e-37
"Tmcc3",1.10279040998803e-40,0.951381934901851,0.751,0.309,2.03045770286997e-36
"Syndig1",1.28563662020668e-40,0.700434935186883,0.407,0.059,2.36711414512453e-36
"Smad7",5.45472211992803e-40,0.779441904034179,0.938,0.699,1.00432343672115e-35
"Plce1",3.01258107017631e-39,0.902900035646644,0.644,0.2,5.54676426640863e-35
"2610035D17Rik",4.18191910090115e-39,1.63387972237006,0.661,0.251,7.6997494485792e-35
"Pcsk5",2.72309575389554e-38,0.967771733694138,0.859,0.484,5.01376390207246e-34
"Ldb2",2.9200984358322e-38,-1.45166352472522,0.254,0.742,5.37648524005424e-34
"Edil3",7.30908298417827e-37,0.846548405767676,0.972,0.814,1.3457483590469e-32
"Klhl4",4.0976001511468e-36,-1.01633808055919,0.226,0.743,7.54450139829148e-32
"Tshz2",5.75635671999317e-36,-1.01891373417692,0.469,0.896,1.05986039928514e-31
"Unc5c",7.44375872437149e-36,1.29553577446022,0.61,0.187,1.37054485633128e-31
"Garnl3",4.91393536548016e-35,1.06507436388753,0.475,0.113,9.04753779492208e-31
"Gm14005",1.63615266539213e-34,-0.965117410566825,0.52,0.891,3.01248428751998e-30
"Hunk",3.83499325440615e-34,-0.821463679223797,0.446,0.846,7.06098958001261e-30
"Creb3l2",2.7742532020903e-32,0.658703984506681,0.983,0.881,5.10795499568867e-28
"Akap12",7.26840019328274e-32,-1.05911296695883,0.322,0.762,1.33825784358722e-27
"Rapgef5",3.81214238334546e-31,-0.87277626721916,0.667,0.92,7.01891655621567e-27
"Foxp2",4.79800077735002e-31,0.805690205682408,0.599,0.215,8.83407903125685e-27
"Mest",8.48817176844036e-31,-0.73733426393588,0.831,0.97,1.56284218600524e-26
"Itgb5",1.27682364495303e-30,0.760737400752967,0.452,0.114,2.35088769508751e-26
"Pknox2",1.80664754978031e-30,0.777166685857712,0.565,0.192,3.3263994686555e-26
"Unc5b",3.66736228038145e-30,0.630810017579002,0.729,0.331,6.75234743063834e-26
"Prkg1",4.27454652882261e-30,0.74762472569181,0.972,0.957,7.87029506886819e-26
"Zfp69",1.38853255616115e-29,-0.931615686859473,0.232,0.664,2.55656614240392e-25
"Nhs",1.52137404028538e-29,-0.877894881307886,0.605,0.912,2.80115388297345e-25
"Mical2",1.71587721945625e-29,0.654114942623734,0.989,0.903,3.15927313646285e-25
"Arhgap28",2.83953783891119e-29,0.760592571098059,0.977,0.872,5.22815706900329e-25
"AC167229.1",3.40105114041118e-29,1.04092920832488,0.508,0.15,6.26201535972507e-25
"Fam78b",4.40814446151667e-29,0.737825693345451,0.542,0.171,8.1162755825445e-25
"Nrp1",9.22821270795018e-29,-0.689339252085118,0.701,0.955,1.69909852378779e-24
"Magi3",1.04016574623722e-28,-0.602298741987853,0.887,0.963,1.91515317197198e-24
"Gm26883",3.7138404735663e-28,-0.885161081100992,0.215,0.669,6.83792307993026e-24
"Pmepa1",5.51302079388778e-28,0.512137729798031,0.35,0.068,1.01505738857062e-23
"Prex2",6.47954979328113e-28,-0.731905333916143,0.661,0.899,1.19301470793892e-23
"Dysf",4.21728389551733e-27,-0.70170314810509,0.435,0.84,7.76486310842652e-23
"Tnc",6.4186461992661e-27,0.600407408074566,0.282,0.039,1.18180113820887e-22
"Has2",9.89848129679712e-27,0.859964259725805,0.684,0.294,1.82250837636629e-22
"Kdr",2.23984921229983e-26,-0.801733237571508,0.249,0.686,4.12401036968645e-22
"Cblb",3.9953577686604e-26,0.539709854912916,0.831,0.446,7.35625272365753e-22
"Lcp1",4.70832906357576e-26,-0.801988746278164,0.158,0.613,8.66897547185568e-22
"Shroom2",1.30983145584125e-25,-0.696624852125375,0.458,0.821,2.41166167649491e-21
"Mapkapk3",1.38670715624307e-25,0.588275872662678,0.35,0.079,2.55320521607473e-21
"Pdgfra",1.493623058348e-25,0.567236880259923,0.35,0.073,2.75005877503033e-21
"Tfpi",2.12709207600915e-25,-0.656091858006667,0.316,0.745,3.91640193034805e-21
"Grid1",4.51606173512058e-25,0.732969057519303,0.277,0.045,8.31497286670401e-21
"Msx1",5.19157602821915e-25,0.51142552541757,0.441,0.126,9.55872978315711e-21
"Adgrf5",5.6331672670505e-25,-0.719392202890063,0.305,0.717,1.03717875720934e-20
"Gpc6",1.37466432231055e-24,0.923056150413133,0.904,0.694,2.53103195023818e-20
"Map1b",1.42651716400685e-24,1.0285740958163,0.898,0.691,2.62650340236941e-20
"Dpysl3",1.61129017609498e-24,0.775415194292979,0.876,0.683,2.96670747222607e-20
"Slc1a3",1.93641246137254e-24,0.808665983719979,0.881,0.636,3.56532262387913e-20
"Robo1",2.52547194127251e-24,0.662381253161382,0.921,0.721,4.64989893827094e-20
"Fbn2",3.40823812447523e-24,0.699395946991696,0.96,0.887,6.2752480347838e-20
"Kitl",9.41032960787565e-24,0.832581130407081,0.723,0.363,1.73262988740206e-19
"Snrk",1.91473343094143e-23,-0.684589041341859,0.379,0.732,3.52540719304935e-19
"Col4a1",2.18675430777448e-23,-0.647602623821997,0.746,0.931,4.02625203147437e-19
"Nhsl2",2.52422561556131e-23,-0.6204889232434,0.61,0.891,4.64760420337149e-19
"Irx5",3.18346012586478e-23,-0.651753210949458,0.096,0.506,5.86138678374224e-19
"2010111I01Rik",9.8231590665136e-23,0.614308535919252,0.887,0.721,1.80864004732648e-18
"Arhgap29",1.21781878608707e-22,-0.58052611906829,0.424,0.765,2.24224794894351e-18
"Acer3",1.24923470510427e-22,-0.723803746028301,0.237,0.636,2.30009093903799e-18
"Meis1",1.57235278614993e-22,-0.546534725672471,0.859,0.96,2.89501594985925e-18
"Ccdc141",1.72590901225347e-22,1.12331188055299,0.825,0.58,3.17774367336108e-18
"Lrig1",8.30702309876823e-22,-0.707995723828948,0.384,0.748,1.52948909294521e-17
"Sulf1",8.75054453074661e-22,1.21234632083949,0.684,0.387,1.61115025900107e-17
"Shank3",5.22655996248857e-21,-0.529828268935043,0.667,0.905,9.62314220293395e-17
"Fam107b",1.1828416453952e-20,-0.724240571956875,0.395,0.705,2.17784803750164e-16
"Bach2",1.61727419383445e-20,0.633233193875461,0.921,0.761,2.977725245688e-16
"Myo18a",1.69033395311275e-20,-0.576961391497915,0.497,0.787,3.1122428744712e-16
"Twist2",6.82142294526386e-20,0.53159094566799,0.288,0.065,1.25596039268198e-15
"Ptprb",1.1138459686185e-19,0.802425484394225,0.887,0.753,2.05081319742037e-15
"Chsy1",1.27247632513406e-19,0.526605660787227,0.701,0.405,2.34288340983684e-15
"Acer2",2.71442504498479e-19,-0.661291217203969,0.333,0.672,4.99779939282599e-15
"Zfpm2",2.8616714545786e-19,-0.508954544102386,0.904,0.954,5.26890948217011e-15
"Sh2d3c",3.63771764720854e-19,-0.662733450508602,0.311,0.652,6.69776573204037e-15
"Pip5k1b",3.88201885642719e-19,-0.739569524722617,0.294,0.624,7.14757311845375e-15
"Pappa",5.45895449252771e-19,0.716332900788772,0.808,0.566,1.0051027011642e-14
"Cdh5",1.64957231034913e-18,-0.530094315004626,0.463,0.75,3.03719253781482e-14
"Ldlrad4",2.07878380345463e-18,0.75515379550031,0.655,0.36,3.82745673892066e-14
"Sox5",2.91975237906762e-18,1.11401084906124,0.757,0.521,5.3758480803393e-14
"Irs1",4.81626166371255e-18,0.71068318471482,0.407,0.151,8.86770097522756e-14
"Cdon",9.39117536923103e-18,0.694617338868632,0.52,0.253,1.72910320898282e-13
"St3gal4",1.10582170003016e-17,0.67287949587843,0.859,0.66,2.03603891409553e-13
"Plvap",1.12946940573624e-17,-0.541291252078462,0.401,0.711,2.07957906984156e-13
"Adgrl2",1.42099037782874e-17,-0.52595649370647,0.65,0.84,2.61632748365828e-13
"Hs6st3",2.22248124068227e-17,0.69414148960226,0.39,0.134,4.09203246034419e-13
"Lef1",2.65611016742409e-17,0.738826194088298,0.486,0.213,4.89043004026124e-13
"Stab1",3.24247785650379e-17,-0.590794211102109,0.316,0.653,5.97005022939477e-13
"Hmcn1",4.46034060269457e-17,-0.726544410946641,0.305,0.614,8.21237911768125e-13
"Gm20532",6.13515781398349e-17,-0.534872681758834,0.198,0.533,1.12960525671064e-12
"Pawr",8.83880574202225e-17,-0.554263375319372,0.345,0.677,1.62740091322114e-12
"Sh3bp5",1.09536624741163e-16,-0.514727972755284,0.305,0.61,2.01678833473429e-12
"Tmem2",3.45677386064148e-16,-0.505491859798956,0.842,0.935,6.3646120322131e-12
"Rap2a",4.21902224731896e-16,-0.540917763571552,0.322,0.643,7.76806376176366e-12
