"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"Vcan",6.75292218923548e-88,-1.4607316967527,0.511,0.957,1.24334803348204e-83
"Tmem164",3.70570774888276e-80,0.914903717383203,0.999,0.978,6.82294910724295e-76
"Ccdc141",6.44359590851121e-79,-1.58563475300827,0.486,0.885,1.18639487867508e-74
"Ptprm",1.80036654269046e-66,0.694322969425951,1,1,3.31483487840168e-62
"Sox6",1.96927835688977e-63,-1.49926566690143,0.435,0.904,3.62583531070544e-59
"Bmper",1.26596096960719e-62,-1.57403760904118,0.096,0.562,2.33088733724076e-58
"Mpped2",6.27859717499543e-59,-1.27162516562363,0.82,0.95,1.15601531186016e-54
"Prex2",9.48958714774941e-55,0.768192247733368,0.961,0.764,1.74722278564362e-50
"Tbx20",9.09349442589029e-54,-1.22442883449181,0.757,0.963,1.67429419369492e-49
"Col23a1",5.50423937793298e-53,1.3026551744035,0.894,0.559,1.01344055426502e-48
"Tgfbr3",7.01832284814475e-53,0.808360253284768,0.981,0.795,1.29221360280041e-48
"Gata4",2.06115444353727e-51,-0.823699415891873,0.88,0.994,3.79499756144082e-47
"Rapgef5",9.84724944909822e-51,0.832757760455363,0.961,0.789,1.81307556856796e-46
"Tenm3",3.82819629140568e-48,-0.96600229204995,0.298,0.72,7.04847501173614e-44
"Slc22a23",1.39661157515035e-47,0.898829145366365,0.894,0.525,2.57144123216683e-43
"Gm14005",2.1230832684085e-47,0.832450878175907,0.936,0.693,3.90902091379373e-43
"Gm31251",3.11715903476593e-47,-0.989860468471416,0.06,0.425,5.73931321481103e-43
"Lef1",4.85149948147626e-47,-0.93433683618384,0.115,0.519,8.9325808452941e-43
"Samd4",5.48682113107693e-46,-0.795959667900434,0.432,0.811,1.01023350665388e-41
"Ctnna3",7.81610505116123e-46,-1.59840102177449,0.471,0.761,1.43910126201981e-41
"Tmem2",9.49145115428428e-46,0.671509244851174,0.985,0.885,1.74756598652682e-41
"Erbb4",1.45193691427464e-45,-1.95287769276765,0.708,0.885,2.67330624656246e-41
"Sorbs2os",1.29289034914737e-44,-0.873631278368553,0.081,0.444,2.38046971085013e-40
"Sdk1",9.95989495644423e-44,-1.07881538675199,0.544,0.835,1.83381585938051e-39
