"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"Angpt1",0,1.58579786653353,0.85,0.306,0
"Gm26917",0,0.677278546445817,0.999,0.969,0
"Rasgef1b",0,-1.29958947375868,0.37,0.853,0
"Rgs6",0,-1.35293269896361,0.672,0.954,0
"Rspo3",0,-1.64986018490622,0.064,0.551,0
"Rora",1.67684275552319e-284,-0.946216618795623,0.835,0.973,3.0874028814693e-280
"Fbn2",1.84209842551344e-280,-0.619266549569827,0.953,0.998,3.39167162105534e-276
"Mast4",4.66521772656381e-271,-0.628757541490318,0.983,0.998,8.58959887814928e-267
"Slco3a1",1.82340370319466e-253,-0.763111482250791,0.807,0.972,3.357250898322e-249
"Cacna2d2",1.00368484978371e-249,-0.675802144332194,0.846,0.981,1.84798454542176e-245
"Cadm1",5.25817681280652e-244,0.909750828745415,0.899,0.536,9.68135514773937e-240
"Aff3",1.4070733817823e-242,-0.7510631558901,0.774,0.955,2.59070351053756e-238
"Pcdh7",4.8452205873488e-241,0.558229022839646,1,0.954,8.92102014542661e-237
"Ltbp1",1.75153478845912e-235,-0.991532270917608,0.7,0.923,3.22492585251094e-231
"Tgfb2",1.25427516010191e-230,-1.24878519432945,0.338,0.729,2.30937142477963e-226
"5430431A17Rik",2.36949455917598e-221,-0.562068170414735,0.98,0.998,4.36271338235482e-217
"Lef1",2.86566707858656e-218,-0.928502630289358,0.558,0.885,5.27626622509357e-214
"Auts2",3.38378196711499e-215,0.670105862846547,0.991,0.911,6.23021935785211e-211
"Slit3",7.73881279581054e-214,0.869328220513639,0.946,0.769,1.42487021196464e-209
"Gramd1b",1.21690176726825e-203,-0.684072536767895,0.796,0.964,2.2405595338943e-199
"Gpc6",4.20897101296584e-199,0.812646544853977,0.889,0.586,7.7495574290727e-195
"Igfbp5",2.28196322306482e-192,-0.876406119315478,0.312,0.695,4.20155068630694e-188
"Lhfpl2",2.45254580087686e-192,-0.769114015875484,0.324,0.716,4.51562732857448e-188
"Tmem132c",1.20691962990173e-190,-0.88950945931767,0.171,0.567,2.22218042257506e-186
"Numb",1.43101257410201e-189,-0.600397505790889,0.889,0.976,2.63478035143662e-185
"Tbx2",4.09971075706598e-189,-0.658804083193286,0.088,0.463,7.54838744590989e-185
"Gm13481",9.42060635757871e-182,-0.95805664831242,0.313,0.683,1.73452204255739e-177
"Pde4d",3.66682347526651e-181,0.582556118765708,0.977,0.876,6.75135538266069e-177
"Kcnh7",1.58226322771036e-176,0.679072804397983,0.977,0.858,2.91326305486032e-172
"Stox2",2.04899737867813e-175,-0.744924822339417,0.629,0.881,3.77261397362217e-171
"Ntf3",9.15083683494009e-175,-0.749965507470135,0.294,0.673,1.68485207804917e-170
"Abtb2",1.35050506618216e-171,-0.517379120134554,0.957,0.989,2.48654992785459e-167
"Smad6",5.22519129665271e-171,-0.749962030887313,0.451,0.778,9.62062221539697e-167
"Robo1",1.44057863395839e-168,-1.1503295333793,0.532,0.796,2.65239338084419e-164
"Gnl3",3.63081292716149e-168,0.622103015430304,0.771,0.425,6.68505276148973e-164
"Tbx3",4.6459077041652e-165,-0.614862782604758,0.114,0.466,8.55404526490896e-161
"Top2a",1.31086644484317e-163,0.650460739529471,0.907,0.625,2.41356729824524e-159
"Spag5",1.91685021988707e-162,0.516403304592539,0.985,0.914,3.52930462485607e-158
"Vcan",3.12262479513013e-161,-0.558344693967097,0.97,0.986,5.74937677279359e-157
"Grhl1",3.69415410161581e-160,-0.745699225120413,0.253,0.606,6.80167653189504e-156
