"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"Slit2",7.82741426692694e-221,2.07234221946897,0.815,0.289,1.44118351482659e-216
"Mest",8.45014052580799e-158,0.809921635807174,0.992,0.88,1.55583987361177e-153
"Fam49a",2.48115365332526e-147,0.806797410833936,0.96,0.648,4.56830010650247e-143
"Nppa",2.90934599992446e-138,0.893591062686886,0.993,0.938,5.35668785506092e-134
"Itga6",2.44911460289002e-129,0.747675145881276,0.974,0.636,4.5093098068411e-125
"Rims3",4.19818264837248e-120,0.522876156083959,0.423,0.088,7.72969389218341e-116
"Nav2",2.31214561728837e-103,0.62142275682709,0.995,0.932,4.25712251055135e-99
"Kcnk3",4.11143152213509e-100,0.569150159745977,0.537,0.174,7.56996771855514e-96
"Tenm3",5.81888426980684e-100,-0.946153299692126,0.731,0.926,1.07137297175683e-95
"Angpt1",1.59132648495186e-95,0.815141844632629,0.903,0.583,2.92995032409336e-91
"Tcf7l2",1.31828196854577e-89,0.695849932764117,0.934,0.771,2.42722076048646e-85
"Thbs4",4.33149069369766e-86,0.601274132095005,0.85,0.5,7.97514066523613e-82
"Fstl4",9.97550287519467e-84,-0.941238342837936,0.377,0.743,1.83668958938084e-79
"4921511I17Rik",3.26492448295527e-82,0.515909285539288,0.519,0.189,6.01137895801725e-78
"Slc6a6",8.36803783359597e-75,0.530379811107849,0.809,0.488,1.54072312592169e-70
"Robo1",1.65954589222272e-74,-1.16144819480817,0.351,0.689,3.05555589676047e-70
"Abra",2.77209142655261e-73,0.561481873139888,0.603,0.271,5.10397473456867e-69
"AC165271.1",3.46066504540743e-73,0.72640509209259,0.824,0.529,6.37177648160416e-69
"Tshz2",2.7913547135765e-66,0.622298872802843,0.755,0.445,5.13944229863705e-62
"Smad6",2.89042450943198e-66,-0.767059158026815,0.308,0.638,5.32184960676616e-62
"Id2",2.07774404299328e-62,-0.591333049989185,0.231,0.594,3.82554233195923e-58
"Sema3a",4.41089829420026e-61,0.557178342707912,0.858,0.616,8.12134593928152e-57
"Gm26883",3.06934882871297e-60,0.585362016105708,0.628,0.319,5.65128506342632e-56
"Kcnj6",6.1327543571301e-54,0.677109606761778,0.476,0.208,1.12916273223479e-49
"Etl4",8.98585544371684e-53,-0.575968406093892,0.573,0.802,1.65447570429714e-48
"Igfbp5",2.21801481545706e-48,-0.714405251249022,0.219,0.512,4.08380887821954e-44
"Tbx20",4.83923597141927e-44,-0.50714663264972,0.867,0.92,8.91000127057716e-40
"Rgs6",4.05009121879238e-43,-0.957597845652121,0.675,0.8,7.45702795204054e-39
"Hmcn1",2.21379225727463e-42,0.507618106263343,0.753,0.546,4.07603430409404e-38
"Fhl2",1.25863624589042e-41,-0.605417752863973,0.68,0.804,2.31740105593344e-37
"Aff3",5.6628916629304e-41,-0.515953958558087,0.753,0.858,1.04265161297875e-36
"Sema6d",9.94629492192101e-40,-0.632730076450839,0.242,0.496,1.8313118210241e-35
"Il1rapl1",1.37424473589398e-39,0.512643426228746,0.287,0.104,2.530259407728e-35
"Dach1",1.51678924704144e-39,-0.500679030001008,0.687,0.849,2.79271236165271e-35
"Cdh13",3.29310637870519e-39,-0.749851064196918,0.409,0.629,6.06326746447199e-35
"Cadps",1.51984100262285e-38,-0.534741601483644,0.183,0.453,2.79833125402919e-34
"Hs6st2",1.61127249883385e-38,-0.539235841128214,0.507,0.719,2.96667492485289e-34
"Tgfb2",2.95559187291704e-38,-0.874680667577546,0.29,0.529,5.44183575641486e-34
"Gpc6",2.0309783865993e-36,-0.551148267721075,0.651,0.784,3.73943740540663e-32
"Plxdc2",1.04959651506237e-35,-0.532711793716176,0.18,0.426,1.93251710353283e-31
"Rtl4",2.55432732936867e-35,0.54495654293103,0.502,0.274,4.7030274788336e-31
"Sema3c",5.18903132450248e-35,-0.603795704945751,0.278,0.515,9.55404447467396e-31
"Cdh20",1.43793644439169e-34,-0.594959484490872,0.124,0.367,2.64752858141398e-30
"Tenm2",2.21482416266692e-34,-0.534699415630333,0.573,0.748,4.07793424830234e-30
"Kcnj3",7.55606221201989e-34,-0.573335469287042,0.15,0.394,1.3912221744771e-29
"Efna5",4.59455781030604e-32,-0.503950863503369,0.343,0.583,8.45949984033549e-28
"Grhl1",7.0419208553528e-31,-0.509040838895556,0.198,0.425,1.29655846788756e-26
"Grin3a",1.1170698528679e-30,-0.537408481565351,0.138,0.373,2.05674901310038e-26
"Rspo3",4.23975922044113e-29,-1.01438278961064,0.084,0.288,7.80624467667622e-25
"Negr1",9.57096976379007e-28,-0.988571716683177,0.087,0.286,1.76220695290903e-23
"Robo2",8.52300214743984e-26,-0.547379529362604,0.198,0.4,1.56925515538662e-21
"Tenm4",1.67932292820989e-23,-0.598503195399808,0.097,0.279,3.09196937542005e-19
"Bmpr1b",5.78808477020812e-19,-0.574139882523344,0.298,0.445,1.06570216789072e-14
"Bmper",1.53798260303908e-16,-0.51975760262954,0.191,0.332,2.83173356871555e-12
"Ntm",0.000509327761099186,-0.568427564058245,0.361,0.4,1
