"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"Tbx4",2.64534917569716e-268,1.54189175723044,0.396,0.003,4.87061690229361e-264
"Bnc2",1.82255925219584e-207,1.97209604236341,0.755,0.025,3.35569609514299e-203
"Pitx1",1.08504195039734e-176,0.661957609922738,0.34,0.004,1.99777923907159e-172
"Dlk1",1.19389786962801e-164,1.92803761141187,0.755,0.033,2.19820475755909e-160
"Col1a1",2.00278883126967e-130,1.46231878649607,0.491,0.016,3.68753479613372e-126
"Adamts2",9.42526659672657e-115,0.576526773069872,0.321,0.007,1.7353800857893e-110
"Egfr",4.77404148080703e-104,0.767583868787221,0.377,0.012,8.78996517446191e-100
"Pdgfra",6.3071697833876e-98,1.15795728042897,0.698,0.049,1.16127610051733e-93
"Dkk2",4.482181035097e-87,0.944812212742837,0.34,0.012,8.2525917218206e-83
"Myof",1.08699805678503e-85,0.643720798517181,0.415,0.018,2.0013808221526e-81
"Peg10",4.44953943548738e-84,0.852359580410873,0.566,0.037,8.19249200861936e-80
"Postn",1.30093497433427e-81,0.994380850273549,0.358,0.014,2.39528147474425e-77
"Igsf11",2.52797479917183e-71,0.536979811095671,0.377,0.018,4.65450720023518e-67
"Ptn",7.12757996643101e-65,0.951852396647561,0.547,0.045,1.31233002341928e-60
"Col1a2",5.38291296729042e-64,0.917046273564811,0.509,0.04,9.91101935537513e-60
"Grik4",1.34945060565749e-62,0.702878338802271,0.358,0.019,2.48460845513657e-58
"Itga4",8.18310264583017e-58,0.932349583025792,0.321,0.017,1.50667285915025e-53
"Dact2",5.75454633610427e-47,0.51627852947966,0.377,0.029,1.05952707140352e-42
"Clmp",8.13827845977779e-45,0.775574875652522,0.434,0.042,1.49841983001429e-40
"Pmp22",5.0036135697232e-44,0.897650276071268,0.623,0.086,9.21265330457435e-40
"Bmp4",4.59310156067024e-42,0.717839014326842,0.415,0.04,8.45681859350605e-38
"Gpr39",5.32243705430952e-42,0.67335716532588,0.34,0.027,9.79967110439468e-38
"Gas1",4.47688096677538e-40,0.773161529555977,0.528,0.068,8.24283323602683e-36
"Dnm3",5.05240689276468e-40,1.06405422711557,0.623,0.098,9.30249157095833e-36
"Clmn",7.59494837096889e-38,0.597850406282421,0.415,0.044,1.39838189406279e-33
"Pid1",1.84912292450383e-37,1.51452235964074,0.377,0.038,3.40460512859645e-33
"Sox5",2.71759361659326e-36,1.36721326579267,0.83,0.212,5.0036333668715e-32
"Sema3e",3.82904948441691e-36,0.965146559656168,0.434,0.052,7.05004591070842e-32
"Lama1",6.76817339682237e-31,0.684826502581947,0.434,0.058,1.24615608582293e-26
"Pitx2",2.69439713614938e-30,0.832950646837486,0.472,0.069,4.96092400707823e-26
"Nckap5",2.97877478925912e-30,1.32056529226854,0.547,0.098,5.48452014198388e-26
"Nrk",7.08638720361803e-30,1.54932781714138,0.472,0.075,1.30474561193015e-25
"Twist2",2.67797424223975e-28,0.60928457512047,0.377,0.048,4.93068617481182e-24
"Trabd2b",6.68988426267908e-28,0.710844768850789,0.453,0.068,1.23174149044447e-23
"Rtl1",7.11944789635821e-28,0.546539554621369,0.453,0.069,1.31083274667747e-23
"Basp1",9.32478460783352e-28,1.17130417688043,0.736,0.207,1.71687934199431e-23
"Gli2",1.44924953318184e-27,0.705462818772448,0.491,0.082,2.66835824049441e-23
"Gm16833",1.5300836334424e-27,0.596159848837682,0.396,0.054,2.81718998589415e-23
"Lgals1",6.37574425255428e-27,0.889752425248662,0.642,0.141,1.17390203178029e-22
"Arhgap42",5.97528406637001e-26,1.05051336379669,0.755,0.229,1.10016930230005e-21
"Myrf",2.07830958950641e-25,0.599534483258749,0.453,0.075,3.8265836161992e-21
"Tenm4",2.38466884032102e-25,1.16219053860279,0.774,0.227,4.39065226879906e-21
"Lix1",7.91991492868548e-25,0.537583282703904,0.321,0.04,1.45821473666957e-20
"Celf4",6.30236813248004e-24,0.687517529128326,0.283,0.032,1.16039202055222e-19
"Meg3",1.25056852033369e-23,1.48787412332556,0.981,0.881,2.30254675963838e-19
"Krt8",6.77371609238076e-23,0.838646836522896,0.491,0.101,1.24717660692915e-18
"Svep1",7.08536269510528e-22,0.638349658156211,0.377,0.06,1.30455697942279e-17
"Ak5",1.98523458549196e-21,0.865056033818618,0.566,0.136,3.6552139188078e-17
"Nebl",2.32360006656127e-21,-1.38412142828801,0.566,0.921,4.27821244255261e-17
"Cdh11",5.05943531552067e-21,0.792059343724007,0.774,0.226,9.31543230293666e-17
"Ttn",2.48314899909764e-20,-1.16757843877187,1,0.995,4.57197393713858e-16
"Ctnna3",3.43087996136694e-20,-1.70663974214419,0.717,0.921,6.31693618486881e-16
"Morc4",3.45412544033964e-20,1.03158826142028,0.509,0.126,6.35973576075334e-16
"Col3a1",4.3901084943888e-20,1.0529213746007,0.585,0.157,8.08306775986866e-16
"Mrc2",4.87266667892973e-20,0.566647729531871,0.415,0.076,8.97155388924542e-16
"Ror1",7.0472285120721e-20,1.20725734854888,0.849,0.348,1.29753571364272e-15
"Cacna1c",1.72536050381818e-19,-1.56453310411516,0.66,0.91,3.17673375963003e-15
"Cacnb2",2.4579497587358e-19,-1.48586683226247,0.717,0.932,4.52557709578435e-15
"Trim55",5.84359054827392e-19,-1.30013268779947,0.604,0.887,1.07592189174819e-14
"Prkce",7.3534178923712e-19,-0.873453194601393,0.849,0.989,1.35391130234338e-14
"Mirg",7.96734346418061e-19,0.88655905792952,0.698,0.251,1.46694727862493e-14
"Gli3",9.01185358603857e-19,0.830772696982975,0.755,0.278,1.65926248226142e-14
"Palld",9.81812001237778e-19,-1.38373075343002,0.906,0.967,1.807712256679e-14
"Rbms3",1.00145427556466e-18,1.27727877013669,0.906,0.595,1.84387761216966e-14
"Peg3",2.07614157394569e-18,0.94911023436897,1,0.649,3.82259186594881e-14
"Pdgfrb",2.44734423580029e-18,0.511763438841412,0.34,0.058,4.5060502069555e-14
"4930512H18Rik",6.34067902081029e-18,-1.35203761315859,0.377,0.863,1.16744582131159e-13
"Slc8a1",7.76819770155886e-18,-1.55568079736298,0.981,0.98,1.43028056081102e-13
"Myo1d",9.05471430477802e-18,0.575325592086321,0.509,0.128,1.66715399779573e-13
"Ldb3",1.05420943332879e-17,-1.16106327067929,0.434,0.854,1.94101040864497e-13
"Mast4",1.48416093114396e-17,-0.959136813093065,0.792,0.987,2.73263710642225e-13
"Krt18",2.90457165367377e-17,0.563812591694781,0.396,0.08,5.34789732874415e-13
"Gpc6",3.20209472691008e-17,1.04725519847984,1,0.756,5.89569681118684e-13
"Adamts12",3.9287538906598e-17,0.737163388717119,0.396,0.085,7.23362166348282e-13
"Qk",4.17544417740561e-17,-0.713063815365011,0.962,0.997,7.6878278194392e-13
"Arhgap28",4.4362099870306e-17,0.837124524266451,0.83,0.38,8.16794982812074e-13
"Lmo7",6.2751317126264e-17,-0.913837656115596,0.528,0.919,1.15537725092877e-12
"Sorbs2",7.13976232607177e-17,-1.17674810868518,0.642,0.908,1.31457303947633e-12
"Mlip",7.46365732824425e-17,-1.26645155742123,0.377,0.842,1.37420858727633e-12
"Ryr2",7.64278762457096e-17,-1.3279294833664,0.849,0.939,1.40719005743601e-12
"Lrrtm3",1.19324432449206e-16,-1.44683002635913,0.283,0.794,2.19700145025477e-12
"Arhgap31",1.27642234766091e-16,-0.822980133763153,0.811,0.993,2.35014882651328e-12
"Fhod3",1.38045254546662e-16,-1.10789698706493,0.547,0.896,2.54168922671313e-12
"Actn2",1.64618916385213e-16,-1.00904107423823,0.698,0.911,3.03096348848455e-12
"Rbm20",1.99224683354066e-16,-1.10373211790783,0.66,0.9,3.66812486991507e-12
"Mef2c",2.48167348735103e-16,-1.05195545743032,0.585,0.9,4.56925722491072e-12
"Rnd3",2.63653239641517e-16,0.565690176799283,0.604,0.186,4.85438344827961e-12
"Ccdc141",3.30625408294101e-16,-1.05778149975019,0.736,0.93,6.08747501751099e-12
"Myocd",3.70996389997396e-16,-1.2627804834488,0.453,0.862,6.83078553263206e-12
"Pde4b",4.60035928643845e-16,-1.08279783970491,0.774,0.927,8.47018151819048e-12
"5430431A17Rik",4.91865378064152e-16,-1.07974045441745,0.755,0.924,9.05622534091717e-12
"Plce1",1.0570823002677e-15,0.725213955493141,0.604,0.19,1.94629993125289e-11
"Nrp2",1.24292206990962e-15,0.798515008319455,0.566,0.181,2.28846811511759e-11
"Tnnc1",2.21033531097691e-15,-0.88206870183806,0.887,0.97,4.06966937457068e-11
"Pdlim5",5.51744175885954e-15,-0.9398073004183,0.887,0.942,1.01587137664122e-10
"Cap2",7.31681699206242e-15,-0.955663649401674,0.604,0.885,1.34717234457853e-10
"Esrrg",7.67021228832682e-15,-0.962667552408617,0.585,0.936,1.41223948652673e-10
"Ank3",7.86296188500214e-15,-1.12758380021157,0.811,0.921,1.44772854226659e-10
"Asxl3",1.1917630325621e-14,0.523188773742565,0.623,0.206,2.19427409555335e-10
"Mybpc3",1.53236952550336e-14,-0.872427548926184,0.434,0.888,2.82139877035679e-10
"Myh6",1.68550606823512e-14,-1.10863261537014,0.83,0.954,3.1033537728345e-10
"Nexn",2.82417783585077e-14,-0.838181550693491,0.811,0.937,5.19987623136843e-10
"Kcnq1ot1",3.22399271405242e-14,-0.656974935002451,0.906,0.996,5.93601538511331e-10
"Myo18b",4.08560328995349e-14,-0.933751723936339,0.377,0.794,7.52241277746237e-10
"A630012P03Rik",5.9914214571651e-14,0.718089580899974,0.962,0.717,1.10314051869324e-09
"Adam12",1.57025106892752e-13,0.694262857857232,0.604,0.196,2.89114626810934e-09
"Jade3",1.78713764281397e-13,0.620155993042172,0.717,0.295,3.29047782794909e-09
"Gm13269",2.14251960684709e-13,-1.01318444460632,0.302,0.758,3.94480710012687e-09
"Tmem163",2.18297245503467e-13,-1.10970123629093,0.283,0.787,4.01928888420984e-09
"Tnnt2",2.18986128589564e-13,-0.677593587493331,0.887,0.961,4.03197259959105e-09
"Magi1",2.24099754599699e-13,-0.694904560671697,0.943,0.994,4.12612468168966e-09
"Plac1",2.30253281126717e-13,0.79378403246942,0.321,0.07,4.23942341210511e-09
"Pde9a",2.83456366482394e-13,0.577851064608773,0.396,0.101,5.21899861967383e-09
